d,res,nq,all,init_config,init,config,cons_gen,cons_sol
3,false,9,0.0839390754699707,7.009506225585938e-5,0.0003428459167480469,0.06470918655395508,0.014190912246704102,0.004626035690307617
5,false,25,0.16849780082702637,7.390975952148438e-5,0.0010559558868408203,0.1330721378326416,0.016579866409301758,0.017715930938720703
7,false,49,0.4886748790740967,0.0001049041748046875,0.002022981643676758,0.16353297233581543,0.01974797248840332,0.3032660484313965
9,false,81,0.5289130210876465,0.00011610984802246094,0.0021009445190429688,0.23691606521606445,0.027531862258911133,0.26224803924560547
11,false,121,8.044687986373901,0.0001430511474609375,0.0036110877990722656,0.3518238067626953,0.041407108306884766,7.647702932357788
13,false,169,1.9426040649414062,0.00018405914306640625,0.005739927291870117,0.45524001121520996,0.049031972885131836,1.432408094406128
15,false,225,263.03473591804504,0.0002830028533935547,0.03757500648498535,0.6455750465393066,0.07806897163391113,262.27323389053345
17,false,289,9.811609745025635,0.0005419254302978516,0.014168024063110352,0.8854339122772217,0.08764410018920898,8.823821783065796
19,false,361,12.06468391418457,0.00036597251892089844,0.0216219425201416,1.0281240940093994,0.13985300064086914,10.87471890449524
21,false,441,43.23709297180176,0.0003800392150878906,0.03028702735900879,1.3586149215698242,0.15772199630737305,41.690088987350464
