d,res,nq,all,init,config,cons_gen,cons_sol
3,false,9,0.07325387001037598,5.1021575927734375e-5,0.056784868240356445,0.011878013610839844,0.004539966583251953
5,false,25,0.1275169849395752,7.891654968261719e-5,0.09708905220031738,0.014078855514526367,0.016270160675048828
7,false,49,0.5183861255645752,2.9087066650390625e-5,0.18226003646850586,0.02095198631286621,0.31514501571655273
9,false,81,0.5304129123687744,3.1948089599609375e-5,0.23275399208068848,0.026335954666137695,0.27129101753234863
11,false,121,8.12035608291626,4.00543212890625e-5,0.3906710147857666,0.036566972732543945,7.69307804107666
13,false,169,2.0705630779266357,5.2928924560546875e-5,0.5275611877441406,0.05713796615600586,1.4858109951019287
15,false,225,270.4393241405487,6.508827209472656e-5,0.6509008407592773,0.07124614715576172,269.7171120643616
17,false,289,10.257694005966187,0.00014209747314453125,0.9357597827911377,0.09871816635131836,9.223073959350586
19,false,361,13.474517107009888,0.0001289844512939453,1.1267499923706055,0.11742496490478516,12.230213165283203
21,false,441,45.18272590637207,0.00010800361633300781,1.4662399291992188,0.1487140655517578,43.56766390800476
