d,res,nq,all,init,config,cons_sol,cons_gen
3,false,9,0.07485413551330566,0.00011110305786132812,0.05756783485412598,0.0047130584716796875,0.012462139129638672
5,false,25,0.12807488441467285,7.176399230957031e-5,0.09672212600708008,0.01735711097717285,0.013923883438110352
7,false,49,0.488555908203125,8.487701416015625e-5,0.16954612731933594,0.2941248416900635,0.02480006217956543
9,false,81,0.5449800491333008,0.00011801719665527344,0.24605011940002441,0.27368688583374023,0.02512502670288086
11,false,121,7.715703964233398,0.00014495849609375,0.35745692253112793,7.318112134933472,0.03998994827270508
13,false,169,1.9722368717193604,0.0005028247833251953,0.5314741134643555,1.3913660049438477,0.04889392852783203
15,false,225,240.88689494132996,0.0012359619140625,0.66680908203125,240.1519899368286,0.06685996055603027
17,false,289,10.338000059127808,0.0006570816040039062,0.87782883644104,9.372738122940063,0.0867760181427002
19,false,361,12.523972988128662,0.0002961158752441406,1.1057748794555664,11.288465023040771,0.12943696975708008
21,false,441,48.920109033584595,0.0003609657287597656,1.3811700344085693,47.377708196640015,0.16086983680725098
